"Y","X","Score_Prob"
95,"1",0.429
90,"1",0.438
85,"1",0.444
80,"1",0.439
75,"1",0.458
70,"1",0.494
65,"1",0.505
60,"1",0.517
55,"1",0.499
50,"1",0.506
45,"1",0.534
40,"1",0.613
35,"1",0.635
30,"1",0.66
25,"1",0.685
20,"1",0.715
15,"1",0.764
10,"1",0.802
5,"1",0.822
0,"1",0.829
95,"2",0.444
90,"2",0.452
85,"2",0.46
80,"2",0.447
75,"2",0.445
70,"2",0.467
65,"2",0.496
60,"2",0.528
55,"2",0.538
50,"2",0.54
45,"2",0.574
40,"2",0.622
35,"2",0.67
30,"2",0.7
25,"2",0.699
20,"2",0.72
15,"2",0.779
10,"2",0.82
5,"2",0.841
0,"2",0.846
95,"3",0.446
90,"3",0.44
85,"3",0.45
80,"3",0.447
75,"3",0.453
70,"3",0.464
65,"3",0.5
60,"3",0.521
55,"3",0.537
50,"3",0.562
45,"3",0.603
40,"3",0.615
35,"3",0.662
30,"3",0.689
25,"3",0.728
20,"3",0.753
15,"3",0.784
10,"3",0.832
5,"3",0.855
0,"3",0.857
95,"4",0.461
90,"4",0.465
85,"4",0.471
80,"4",0.451
75,"4",0.49
70,"4",0.515
65,"4",0.53
60,"4",0.539
55,"4",0.552
50,"4",0.538
45,"4",0.582
40,"4",0.618
35,"4",0.651
30,"4",0.671
25,"4",0.733
20,"4",0.764
15,"4",0.806
10,"4",0.842
5,"4",0.87
0,"4",0.875
95,"5",0.438
90,"5",0.448
85,"5",0.455
80,"5",0.468
75,"5",0.512
70,"5",0.517
65,"5",0.516
60,"5",0.513
55,"5",0.576
50,"5",0.59
45,"5",0.608
40,"5",0.644
35,"5",0.662
30,"5",0.678
25,"5",0.716
20,"5",0.74
15,"5",0.78
10,"5",0.828
5,"5",0.853
0,"5",0.866
95,"6",0.448
90,"6",0.45
85,"6",0.457
80,"6",0.484
75,"6",0.515
70,"6",0.527
65,"6",0.522
60,"6",0.533
55,"6",0.56
50,"6",0.601
45,"6",0.594
40,"6",0.623
35,"6",0.671
30,"6",0.687
25,"6",0.743
20,"6",0.75
15,"6",0.772
10,"6",0.809
5,"6",0.843
0,"6",0.86
95,"7",0.441
90,"7",0.436
85,"7",0.44
80,"7",0.447
75,"7",0.463
70,"7",0.481
65,"7",0.496
60,"7",0.529
55,"7",0.549
50,"7",0.558
45,"7",0.559
40,"7",0.61
35,"7",0.646
30,"7",0.666
25,"7",0.7
20,"7",0.737
15,"7",0.762
10,"7",0.808
5,"7",0.832
0,"7",0.849
95,"8",0.468
90,"8",0.472
85,"8",0.463
80,"8",0.466
75,"8",0.451
70,"8",0.47
65,"8",0.479
60,"8",0.52
55,"8",0.526
50,"8",0.538
45,"8",0.566
40,"8",0.608
35,"8",0.634
30,"8",0.669
25,"8",0.708
20,"8",0.743
15,"8",0.78
10,"8",0.809
5,"8",0.845
0,"8",0.852
95,"9",0.47
90,"9",0.462
85,"9",0.467
80,"9",0.475
75,"9",0.462
70,"9",0.467
65,"9",0.48
60,"9",0.47
55,"9",0.506
50,"9",0.522
45,"9",0.553
40,"9",0.575
35,"9",0.597
30,"9",0.608
25,"9",0.637
20,"9",0.692
15,"9",0.75
10,"9",0.793
5,"9",0.808
0,"9",0.82
95,"10",0.466
90,"10",0.474
85,"10",0.467
80,"10",0.46
75,"10",0.456
70,"10",0.442
65,"10",0.446
60,"10",0.463
55,"10",0.484
50,"10",0.503
45,"10",0.55
40,"10",0.57
35,"10",0.584
30,"10",0.599
25,"10",0.626
20,"10",0.665
15,"10",0.707
10,"10",0.746
5,"10",0.76
0,"10",0.785
