"X_0","Y_0","Score_Prob","Turnover_cost"
"1",95,0.436,0.804
"1",90,0.433,0.804
"1",85,0.426,0.804
"1",80,0.423,0.804
"1",75,0.456,0.768
"1",70,0.474,0.746
"1",65,0.506,0.708
"1",60,0.509,0.683
"1",55,0.515,0.632
"1",50,0.51,0.608
"1",45,0.541,0.583
"1",40,0.594,0.576
"1",35,0.644,0.535
"1",30,0.669,0.498
"1",25,0.701,0.476
"1",20,0.731,0.464
"1",15,0.772,0.45
"1",10,0.813,0.446
"1",5,0.828,0.452
"1",0,0.836,0.463
"2",95,0.454,0.83
"2",90,0.447,0.83
"2",85,0.446,0.83
"2",80,0.452,0.83
"2",75,0.452,0.827
"2",70,0.471,0.791
"2",65,0.516,0.753
"2",60,0.542,0.711
"2",55,0.535,0.659
"2",50,0.545,0.613
"2",45,0.562,0.602
"2",40,0.616,0.585
"2",35,0.671,0.55
"2",30,0.712,0.526
"2",25,0.722,0.514
"2",20,0.752,0.495
"2",15,0.804,0.476
"2",10,0.83,0.475
"2",5,0.847,0.48
"2",0,0.848,0.484
"3",95,0.448,0.868
"3",90,0.453,0.868
"3",85,0.444,0.868
"3",80,0.47,0.868
"3",75,0.456,0.857
"3",70,0.473,0.808
"3",65,0.501,0.771
"3",60,0.516,0.732
"3",55,0.526,0.715
"3",50,0.552,0.679
"3",45,0.613,0.653
"3",40,0.62,0.605
"3",35,0.67,0.573
"3",30,0.714,0.566
"3",25,0.735,0.55
"3",20,0.762,0.528
"3",15,0.797,0.491
"3",10,0.837,0.473
"3",5,0.864,0.47
"3",0,0.868,0.48
"4",95,0.465,0.869
"4",90,0.473,0.869
"4",85,0.476,0.869
"4",80,0.465,0.869
"4",75,0.491,0.85
"4",70,0.491,0.823
"4",65,0.522,0.778
"4",60,0.529,0.74
"4",55,0.553,0.709
"4",50,0.558,0.677
"4",45,0.588,0.655
"4",40,0.634,0.623
"4",35,0.653,0.564
"4",30,0.685,0.549
"4",25,0.734,0.55
"4",20,0.772,0.533
"4",15,0.8,0.5
"4",10,0.839,0.476
"4",5,0.868,0.455
"4",0,0.88,0.43
"5",95,0.455,0.872
"5",90,0.447,0.872
"5",85,0.454,0.872
"5",80,0.458,0.872
"5",75,0.52,0.861
"5",70,0.527,0.833
"5",65,0.515,0.785
"5",60,0.517,0.758
"5",55,0.591,0.748
"5",50,0.599,0.698
"5",45,0.608,0.678
"5",40,0.658,0.621
"5",35,0.668,0.604
"5",30,0.678,0.616
"5",25,0.717,0.571
"5",20,0.745,0.524
"5",15,0.784,0.511
"5",10,0.832,0.538
"5",5,0.857,0.531
"5",0,0.868,0.494
"6",95,0.456,0.868
"6",90,0.459,0.868
"6",85,0.477,0.868
"6",80,0.494,0.868
"6",75,0.531,0.857
"6",70,0.538,0.832
"6",65,0.511,0.784
"6",60,0.524,0.745
"6",55,0.571,0.717
"6",50,0.616,0.678
"6",45,0.604,0.668
"6",40,0.621,0.658
"6",35,0.678,0.608
"6",30,0.698,0.599
"6",25,0.748,0.591
"6",20,0.758,0.517
"6",15,0.785,0.515
"6",10,0.833,0.527
"6",5,0.861,0.52
"6",0,0.872,0.458
"7",95,0.446,0.88
"7",90,0.445,0.88
"7",85,0.437,0.88
"7",80,0.43,0.88
"7",75,0.455,0.868
"7",70,0.476,0.839
"7",65,0.5,0.8
"7",60,0.533,0.772
"7",55,0.55,0.734
"7",50,0.549,0.685
"7",45,0.564,0.653
"7",40,0.623,0.634
"7",35,0.655,0.588
"7",30,0.677,0.558
"7",25,0.709,0.553
"7",20,0.74,0.529
"7",15,0.778,0.522
"7",10,0.823,0.491
"7",5,0.85,0.491
"7",0,0.869,0.465
"8",95,0.456,0.868
"8",90,0.455,0.868
"8",85,0.465,0.868
"8",80,0.48,0.868
"8",75,0.47,0.864
"8",70,0.473,0.837
"8",65,0.491,0.797
"8",60,0.528,0.762
"8",55,0.55,0.735
"8",50,0.566,0.714
"8",45,0.573,0.67
"8",40,0.605,0.62
"8",35,0.653,0.613
"8",30,0.679,0.552
"8",25,0.715,0.526
"8",20,0.732,0.516
"8",15,0.771,0.501
"8",10,0.808,0.473
"8",5,0.857,0.456
"8",0,0.868,0.47
"9",95,0.479,0.848
"9",90,0.483,0.848
"9",85,0.482,0.848
"9",80,0.484,0.848
"9",75,0.48,0.847
"9",70,0.475,0.83
"9",65,0.476,0.804
"9",60,0.495,0.752
"9",55,0.514,0.722
"9",50,0.526,0.712
"9",45,0.55,0.671
"9",40,0.585,0.616
"9",35,0.602,0.562
"9",30,0.613,0.545
"9",25,0.659,0.535
"9",20,0.711,0.542
"9",15,0.753,0.516
"9",10,0.791,0.471
"9",5,0.827,0.452
"9",0,0.83,0.452
"10",95,0.477,0.836
"10",90,0.476,0.836
"10",85,0.474,0.836
"10",80,0.463,0.836
"10",75,0.452,0.828
"10",70,0.446,0.813
"10",65,0.45,0.772
"10",60,0.464,0.731
"10",55,0.476,0.701
"10",50,0.498,0.669
"10",45,0.535,0.644
"10",40,0.576,0.594
"10",35,0.583,0.541
"10",30,0.608,0.51
"10",25,0.632,0.515
"10",20,0.683,0.509
"10",15,0.708,0.506
"10",10,0.746,0.474
"10",5,0.768,0.456
"10",0,0.804,0.423
